Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Avg>2.5,Avg<2.5,elo_rating_home,elo_rating_away,Over_2.5,prob_over25,prob_under25,over25_expectation_gap,missing_odds_info,home_shots,home_shots_on_target,home_corners,home_fouls,home_cards,away_shots,away_shots_on_target,away_corners,away_fouls,away_cards,shots_home_last5,shots_home_last5_missing,shots_away_last5,shots_away_last5_missing,shots_on_target_home_last5,shots_on_target_home_last5_missing,shots_on_target_away_last5,shots_on_target_away_last5_missing,corners_home_last5,corners_home_last5_missing,corners_away_last5,corners_away_last5_missing,fouls_home_last5,fouls_home_last5_missing,fouls_away_last5,fouls_away_last5_missing,cards_home_last5,cards_home_last5_missing,cards_away_last5,cards_away_last5_missing,missing_shot_diff_last5m,missing_shot_on_target_diff_last5,missing_corner_diff_last5,missing_fouls_diff,missing_card_diff,shot_diff_last5m,shot_on_target_diff_last5,corner_diff_last5,fouls_diff,card_diff,home_form_shots,home_form_xg,missing_home_form_shots,missing_home_form_xg,away_form_shots,away_form_xg,missing_away_form_shots,missing_away_form_xg,log_odds_under25,missing_log_odds_under25,home_xg,away_xg,xg_home_last5,xg_away_last5,missing_xg_home_last5,missing_xg_away_last5,boring_match_score,match_weight,momentum_score,shooting_efficiency,tempo_score,passivity_score,aggressiveness_score,behavior_balance,home_conceded,conceded_home_last5,missing_conceded_home_last5,away_conceded,conceded_away_last5,missing_conceded_away_last5,defensive_stability,xg_conceded_home_last5,xg_conceded_away_last5,avg_xg_conceded,xg_ratio,defensive_pressure,missing_xg_conceded_home_last5,missing_xg_conceded_away_last5,missing_avg_xg_conceded,missing_xg_ratio,missing_defensive_pressure
E0,2020-09-12,12:30,Fulham,Arsenal,0,3,A,0,1,A,5,13,2,6,12,12,2,3,2,2,0,0,1.76,2.1,0.0,0.0,True,0.5681818181818182,0.47619047619047616,0.09199134199134207,0,5,2,2,12,2,13,6,3,12,2,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1,1,1.1314021114911006,0,0.85,2.37,,0.56,1,0,1.7000000000000002,0.13478214101892214,-0.44468582126144574,0.42105263157894735,23,1.883,0.0,1.883,3,0.0,1,0,0.0,1,0.0,0.0,0.0,0.0,,0.0,0,0,0,1,0
E0,2020-09-28,20:00,Liverpool,Arsenal,3,1,H,2,1,H,21,4,8,3,11,7,7,3,2,2,0,0,1.54,2.48,0.0,19.71225631667994,True,0.6493506493506493,0.40322580645161293,0.2461248428990364,0,21,8,7,11,2,4,3,3,7,2,0.0,1,13.0,0,0.0,1,6.0,0,0.0,1,3.0,0,0.0,1,12.0,0,0.0,1,2.0,0,0,0,0,0,0,-13.0,-6.0,-3.0,-12.0,-2.0,0.0,0.0,1,1,13.0,2.37,0,0,1.247032293786383,0,3.49,0.9600000000000001,1.3199999999999998,1.77,0,0,2.35,0.13495746629196026,-3.0522192325284534,0.4230769230769231,35,2.9175,10.0,12.9175,1,0.0,1,3,0.0,0,0.0,2.37,0.0,1.185,1.2251478014623944,-14.0,0,0,0,0,0
E0,2020-10-17,17:30,Man City,Arsenal,1,0,H,1,0,H,13,11,5,3,15,10,6,6,4,1,0,0,1.43,2.8,0.0,18.882332106509466,False,0.6993006993006994,0.35714285714285715,0.34215784215784223,0,13,5,6,15,4,11,3,6,10,1,0.0,1,8.5,0,0.0,1,4.5,0,0.0,1,3.0,0,0.0,1,9.5,0,0.0,1,2.0,0,0,0,0,0,0,-8.5,-4.5,-3.0,-9.5,-2.0,0.0,0.0,1,1,8.5,1.665,0,0,1.33500106673234,0,2.17,1.59,2.17,2.1566666666666667,0,0,2.0,0.1351684871744464,-2.989160666425323,0.32,36,2.9640000000000004,10.0,12.964,0,0.0,1,1,1.5,0,0.75,1.665,0.0,0.8325,1.7298587132723142,-11.5,0,0,0,0,0
E0,2020-11-01,16:30,Man United,Arsenal,0,1,A,0,0,D,8,7,2,2,12,12,6,3,3,3,0,0,1.74,2.12,0.0,-1.9005914805995872,False,0.5747126436781609,0.4716981132075471,0.10301453047061376,0,8,2,6,12,3,7,2,3,12,3,0.0,1,9.333333333333334,0,0.0,1,4.0,0,0.0,1,4.0,0,0.0,1,9.666666666666666,0,0.0,1,1.6666666666666667,0,0,0,0,0,0,-9.333333333333334,-4.0,-4.0,-9.666666666666666,-1.6666666666666667,0.0,0.0,1,1,9.333333333333334,1.64,0,0,1.1378330018213911,0,1.12,1.03,1.9533333333333334,2.17,0,0,1.15,0.13533729801091854,0.98728020602442,0.25,24,1.9725,10.0,11.9725,1,0.0,1,0,1.3333333333333333,0,0.6666666666666666,1.6400000000000001,0.0,0.8200000000000001,1.7014488480712058,-11.333333333333332,0,0,0,0,0
E0,2020-11-22,16:30,Leeds,Arsenal,0,0,D,0,0,D,25,9,4,2,9,8,5,3,3,0,0,1,1.66,2.24,0.0,-2.080539716463136,False,0.6024096385542169,0.4464285714285714,0.15598106712564552,0,25,4,5,9,3,9,2,3,8,1,0.0,1,8.75,0,0.0,1,3.5,0,0.0,1,3.75,0,0.0,1,10.25,0,0.0,1,2.0,0,0,0,0,0,0,-8.75,-3.5,-3.75,-10.25,-2.0,0.0,0.0,1,1,8.75,1.4875,0,0,1.1755733298042381,0,3.05,1.21,1.6380000000000003,,0,1,2.3000000000000003,0.13557700352384336,1.5514993696236792,0.17142857142857143,42,3.139,10.0,13.139,0,0.0,1,0,1.0,0,0.5,1.4875,0.0,0.74375,,-12.25,0,0,0,1,0
E0,2020-12-06,16:30,Tottenham,Arsenal,2,0,H,2,0,H,6,11,3,2,16,12,3,9,1,2,0,0,1.92,1.9,0.0,-11.962499137958957,False,0.5208333333333334,0.5263157894736842,-0.005482456140350811,0,6,3,3,16,1,11,2,9,12,2,0.0,1,8.8,0,0.0,1,3.2,0,0.0,1,3.6,0,0.0,1,9.8,0,0.0,1,1.8,0,0,0,0,0,0,-8.8,-3.2,-3.6,-9.8,-1.8,0.0,0.0,1,1,8.8,1.432,0,0,1.0647107369924282,0,1.1400000000000001,1.3900000000000001,1.1400000000000001,1.42,0,0,1.35,0.13573904438243398,2.5402230224877975,0.2777777777777778,29,2.4295000000000004,10.0,12.4295,0,0.0,1,2,0.8,0,0.4,1.4320000000000002,0.0,0.7160000000000001,1.4200325007517407,-11.600000000000001,0,0,0,0,0
E0,2020-12-19,17:30,Everton,Arsenal,2,1,H,2,1,H,9,13,2,2,9,9,4,3,1,3,0,0,1.84,1.98,0.0,-30.10710000826043,True,0.5434782608695652,0.5050505050505051,0.038427755819060105,0,9,2,4,9,1,13,2,3,9,3,0.0,1,9.166666666666666,0,0.0,1,3.0,0,0.0,1,4.5,0,0.0,1,10.166666666666666,0,0.0,1,1.8333333333333333,0,0,0,0,0,0,-9.166666666666666,-3.0,-4.5,-10.166666666666666,-1.8333333333333333,0.0,0.0,1,1,8.4,1.2360000000000002,0,0,1.091923300517313,0,1.21,1.5699999999999998,2.225,1.584,0,0,1.5,0.13589115089263154,3.4578328812885673,0.17391304347826086,29,2.217,10.0,12.217,1,0.0,1,2,1.2,0,0.6,1.425,0.0,0.7125,1.7383586925009398,-12.0,0,0,0,0,0
E0,2020-12-29,18:00,Brighton,Arsenal,0,1,A,0,0,D,13,11,2,3,11,4,5,4,2,0,0,0,2.04,1.79,0.0,-28.117993367835652,False,0.49019607843137253,0.5586592178770949,-0.06846313944572241,0,13,2,5,11,2,11,3,4,4,0,0.0,1,9.166666666666666,0,0.0,1,2.3333333333333335,0,0.0,1,4.5,0,0.0,1,9.666666666666666,0,0.0,1,2.0,0,0,0,0,0,0,-9.166666666666666,-2.3333333333333335,-4.5,-9.666666666666666,-2.0,0.0,0.0,1,1,10.2,1.358,0,0,1.0260415958332743,0,1.5699999999999998,1.59,2.5316666666666667,1.9616666666666667,0,0,1.7000000000000002,0.13600925003899322,3.390742700362814,0.2,33,2.574,10.0,12.574,1,0.0,1,0,1.0,0,0.5,1.2916666666666667,0.0,0.6458333333333334,1.9494155701082057,-11.666666666666666,0,0,0,0,0
E0,2021-01-02,20:00,West Brom,Arsenal,0,4,A,0,2,A,7,21,3,12,7,4,3,5,1,2,0,0,1.84,1.98,0.0,-17.310454733579036,True,0.5434782608695652,0.5050505050505051,0.038427755819060105,0,7,3,3,7,1,21,12,5,4,2,0.0,1,10.333333333333334,0,0.0,1,2.3333333333333335,0,0.0,1,4.666666666666667,0,0.0,1,9.166666666666666,0,0.0,1,1.6666666666666667,0,0,0,0,0,0,-10.333333333333334,-2.3333333333333335,-4.666666666666667,-9.166666666666666,-1.6666666666666667,0.0,0.0,1,1,10.2,1.3579999999999999,0,0,1.091923300517313,0,1.23,4.29,2.6183333333333336,1.8950000000000002,0,0,2.9000000000000004,0.13605675963592642,2.946215719139932,0.5172413793103449,36,3.028,10.0,13.028,4,0.0,1,0,0.8,0,0.4,1.3966666666666667,0.0,0.6983333333333334,1.8951347170064212,-10.833333333333332,0,0,0,0,0
E0,2021-01-26,20:15,Southampton,Arsenal,1,3,A,1,2,A,13,9,5,5,11,6,4,5,1,2,0,0,1.78,2.05,-0.8898030297461901,3.573843792198886,True,0.5617977528089888,0.48780487804878053,0.07399287476020827,0,13,5,4,11,1,9,5,5,6,2,0.0,1,12.0,0,0.0,1,3.8333333333333335,0,0.0,1,4.5,0,0.0,1,8.166666666666666,0,0.0,1,1.8333333333333333,0,0,0,0,0,0,-12.0,-3.8333333333333335,-4.5,-8.166666666666666,-1.8333333333333333,0.0,0.0,1,1,13.0,2.0100000000000002,0,0,1.1151415906193203,0,2.17,1.81,2.5700000000000003,,0,1,2.1,0.1363451179021601,-1.0625175827333921,0.43478260869565216,31,2.597,10.0,12.597,3,0.0,1,1,0.8,0,0.4,1.8466666666666667,0.0,0.9233333333333333,,-10.0,0,0,0,1,0
